"Account","Codename","URL","List"
"Mike Mohring","mikemohring.de","https://www.facebook.com/188677361503511","CDU_FB_BTW21"
"Thomas Rachel","thomas.rachel.dueren","https://www.facebook.com/671477766298810","CDU_FB_BTW21"
"Oliver Vogt","olivervogt.de","https://www.facebook.com/570977366424599","CDU_FB_BTW21"
"Felix Schreiner","schreiner.felix","https://www.facebook.com/137019056359309","CDU_FB_BTW21"
"Steffen Bilger","steffen.bilger.cdu","https://www.facebook.com/847387425402196","CDU_FB_BTW21"
"Klaus Mack","klausmackCDU","https://www.facebook.com/100918065361043","CDU_FB_BTW21"
"Michael Brand MdB","menschbrand","https://www.facebook.com/1824216931170605","CDU_FB_BTW21"
"Andreas Weber","weberandy","https://www.facebook.com/weberandy","CDU_FB_BTW21"
"Volker Mayer-Lay","VolkerMayerLayCDU","https://www.facebook.com/105133104608651","CDU_FB_BTW21"
"Alexander Throm","alexander.throm.hn","https://www.facebook.com/1698700087037237","CDU_FB_BTW21"
"Wilfried Oellers","WilfriedOellers.CDU","https://www.facebook.com/480535868644583","CDU_FB_BTW21"
"Dr. Saskia Ludwig","SaskiaLudwigCDU","https://www.facebook.com/508980172628755","CDU_FB_BTW21"
"Matthias Hauer","matthiashauer.cdu","https://www.facebook.com/126360456507","CDU_FB_BTW21"
"Kerstin Radomski","KerstinRadomskiMdB","https://www.facebook.com/55254653725","CDU_FB_BTW21"
"Dr. Jan-Marco Luczak MdB","JanMarcoLuczakMdB","https://www.facebook.com/942949079130982","CDU_FB_BTW21"
"Stefan Rouenhoff","stefanrouenhoff","https://www.facebook.com/272413923137815","CDU_FB_BTW21"
"Stephan Albani","StephanAlbaniMdB","https://www.facebook.com/286689658107688","CDU_FB_BTW21"
"Kai Whittaker","kai.whittaker.cdu","https://www.facebook.com/135445149965726","CDU_FB_BTW21"
"Simone Borchardt","SimoneBorchardt2021","https://www.facebook.com/1053646904666813","CDU_FB_BTW21"
"Mario Czaja","czaja.mario","https://www.facebook.com/341164211104","CDU_FB_BTW21"
"Johannes Steiniger","johannes.steiniger","https://www.facebook.com/1606725526229201","CDU_FB_BTW21"
"Volkmar Klein","VolkmarKlein.de","https://www.facebook.com/72709330562","CDU_FB_BTW21"
"Armin Schwarz","schwarz.armin","https://www.facebook.com/503396569702880","CDU_FB_BTW21"
"Sylvia Pantel","SylviaPantelPolitik","https://www.facebook.com/640875249313244","CDU_FB_BTW21"
"Axel Knoerig","axel.knoerig","https://www.facebook.com/79647730686","CDU_FB_BTW21"
"Anne König","AnneKoenigMdB","https://www.facebook.com/104479264881235","CDU_FB_BTW21"
"Annette Widmann-Mauz","widmannmauz","https://www.facebook.com/314677355299127","CDU_FB_BTW21"
"Tino Sorge, MdB","sorgetino","https://www.facebook.com/410387535708548","CDU_FB_BTW21"
"Wilhelm Gebhard","","https://www.facebook.com/110949757892446","CDU_FB_BTW21"
"Gunther Krichbaum","krichbaum.bundestag","https://www.facebook.com/217240221654203","CDU_FB_BTW21"
"Nicolas Zippelius","NZippelius","https://www.facebook.com/102135698530662","CDU_FB_BTW21"
"Carsten Körber - MdB","koerber.carsten","https://www.facebook.com/464337703775204","CDU_FB_BTW21"
"Mareike Lotte Wulf","MareikeLotteWulf","https://www.facebook.com/239730576465595","CDU_FB_BTW21"
"Dr. Carsten Brodesser","dr.carsten.brodesser","https://www.facebook.com/1847338492218497","CDU_FB_BTW21"
"Anne Janssen MdB","annejanssen2021","https://www.facebook.com/101642368559714","CDU_FB_BTW21"
"Klaus Wiener MdB","KlauswienerCDU","https://www.facebook.com/102314525375756","CDU_FB_BTW21"
"Elisabeth Winkelmeier-Becker","Elisabeth.WinkelmeierBecker","https://www.facebook.com/121895396276","CDU_FB_BTW21"
"Ursula Groden-Kranich","grodenkranich","https://www.facebook.com/183467831832037","CDU_FB_BTW21"
"Petra Nicolaisen","P.NicolaisenWK1","https://www.facebook.com/1968131173400411","CDU_FB_BTW21"
"Josef Rief","josefriefmdb","https://www.facebook.com/383840958337134","CDU_FB_BTW21"
"Hendrik Hoppenstedt","HendrikHoppenstedt","https://www.facebook.com/525779044151618","CDU_FB_BTW21"
"Bettina M. Wiesmann","bmwiesmann","https://www.facebook.com/251835031928619","CDU_FB_BTW21"
"André Berghegger","BergheggerAndreMdB","https://www.facebook.com/315321281924550","CDU_FB_BTW21"
"Kerstin Vieregge","kerstin.4egge","https://www.facebook.com/1383348715089774","CDU_FB_BTW21"
"Jürgen Hardt","JuergenHardt","https://www.facebook.com/90203217294","CDU_FB_BTW21"
"Christiane Schenderlein","chrschenderlein","https://www.facebook.com/101161605540611","CDU_FB_BTW21"
"Christian Haase","haasechristian.de","https://www.facebook.com/620464327970113","CDU_FB_BTW21"
"Manfred Grund, MdB","manfredgrundmdb","https://www.facebook.com/291844427861571","CDU_FB_BTW21"
"Dr. Ottilie Klein","ilovemitte","https://www.facebook.com/105304064860165","CDU_FB_BTW21"
"Markus Uhl","markusuhlmdb","https://www.facebook.com/467987053577610","CDU_FB_BTW21"
"Markus Grübel","MarkusGruebelMdB","https://www.facebook.com/127441196853","CDU_FB_BTW21"
"Yannick Bury","yannick.bury.cdu","https://www.facebook.com/451241478944949","CDU_FB_BTW21"
"Monika Grütters","MonikaGruetters","https://www.facebook.com/969991799799891","CDU_FB_BTW21"
"Stefan Nacke","Nacke2021","https://www.facebook.com/344485892619111","CDU_FB_BTW21"
"Maximilian Oppelt","MaximilianOppelt.CDU","https://www.facebook.com/1380327845358168","CDU_FB_BTW21"
"Jobst-Alexander Dreß","JADress2021","https://www.facebook.com/1699320610328108","CDU_FB_BTW21"
"Carsten Büttinghaus","carsten.buettinghaus","https://www.facebook.com/103357964733801","CDU_FB_BTW21"
"Michael Breilmann","mbreilmann","https://www.facebook.com/637407053037068","CDU_FB_BTW21"
"Holger Bormann","holgerbormanncdu","https://www.facebook.com/112497500941634","CDU_FB_BTW21"
"Philipp Albrecht","PhilippAlbrechtCDU","https://www.facebook.com/100194822155312","CDU_FB_BTW21"
"Katja Gehrmann","KatjaGehrmannFriedrichsdorf","https://www.facebook.com/107232497768848","CDU_FB_BTW21"
"Gisela Manderla","manderla.gisela","https://www.facebook.com/147409458760059","CDU_FB_BTW21"
"Marc Henrichmann","m.henrichmann","https://www.facebook.com/194705457238325","CDU_FB_BTW21"
"Gerry Weber - Ihr Beauftragter für Bundesangelegenheiten des KV JL","gerryweber.cdu","https://www.facebook.com/102803151690105","CDU_FB_BTW21"
"Dr. Michael Meister","Dr.Michael.Meister","https://www.facebook.com/168727169874009","CDU_FB_BTW21"
